,Unnamed: 0,year,state,agency_name,fips_state_code,fips_county_code,fips_state_county_code,population,rec_legal,med_legal,narc_per_cap,synth_per_cap,other_per_cap,total_drug_per_cap,violent_per_cap,prop_per_cap,cpi,hhic,hhic_inf,educ,unemp,white,black,hisp,dem_gov,officer_emp,officer_per_cap,state_agency
83,83,2008,california,mission viejo,6,59,6059,94702,0.0,1.0,4.751747587,0.0,5.596502714,10.3482503,12.46013812,24.92027623,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,195.7720006,californiamission viejo
84,84,2008,california,laguna niguel,6,59,6059,64563,0.0,1.0,11.92633552,0.0,10.99701067,22.92334619,11.92633552,18.74138438,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,287.1613773,californialaguna niguel
85,85,2008,california,lake forest,6,59,6059,75637,0.0,1.0,13.35325304,0.0,29.21850417,42.57175721,17.31956582,20.09598477,215.303,83000,38.5503221,24.4437437,6.017806,62.6101617,1.5432235,33.0668748,0,1854,245.11813,californialake forest
86,86,2008,california,placer,6,61,6061,113876,0.0,1.0,10.09870385,0.0,14.84070392,24.93940778,20.7242966,26.6957041,215.303,86800,40.31527661,23.5765799,4.7016696,83.7662689,1.4526169,12.6762344,0,231,20.28522252,californiaplacer
87,87,2008,california,rocklin,6,61,6061,53803,0.0,1.0,11.33765775,0.0,10.2224783,21.56013605,14.86905935,28.99466572,215.303,86800,40.31527661,23.5765799,4.7016696,83.7662689,1.4526169,12.6762344,0,231,42.93440886,californiarocklin
88,88,2008,california,roseville,6,61,6061,112817,0.0,1.0,30.40321937,0.0,32.53055834,62.93377771,29.78274551,98.300788,215.303,86800,40.31527661,23.5765799,4.7016696,83.7662689,1.4526169,12.6762344,0,231,20.47563754,californiaroseville
89,89,2008,california,riverside,6,65,6065,554242,0.0,1.0,16.07601012,0.0,26.45053966,42.52654977,23.2209035,18.20504401,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,39.0804017,californiariverside
90,90,2008,california,hemet,6,65,6065,71789,0.0,1.0,24.09839948,0.0,29.67028375,53.76868322,51.2613353,80.09583641,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,301.7175333,californiahemet
91,91,2008,california,indio,6,65,6065,89486,0.0,1.0,11.73367901,0.0,26.37284044,38.10651946,24.36135261,16.53889994,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,242.0490356,californiaindio
92,92,2008,california,perris,6,65,6065,56285,0.0,1.0,10.12703207,0.0,15.63471618,25.76174825,40.33046105,57.91951675,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,384.8272186,californiaperris
93,93,2008,california,riverside,6,65,6065,299384,0.0,1.0,10.62181012,0.0,25.35205622,35.97386634,27.02215215,68.20671779,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,72.3485557,californiariverside2
94,94,2008,california,corona,6,65,6065,153193,0.0,1.0,14.88318657,0.0,23.43449113,38.3176777,18.86509175,41.51625727,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,141.3902724,californiacorona
95,95,2008,california,cathedral city,6,65,6065,53601,0.0,1.0,13.80571258,0.0,17.53698625,31.34269883,20.52200519,34.88740882,215.303,65000,30.19001129,13.3347321,9.0870568,66.181988,6.2417553,43.9827097,0,2166,404.0969385,californiacathedral city
